,LKXIP Index,RACLCORP Index,IPSA Index,PEBUY Index,LEGATRUU Index,LF98TRUU Index,NDDUWI Index,NDUEEGF Index,NDX Index
2007-04-30,0.001638927654439959,0.006363993462250361,0.0768974769222246,-0.026832469287439542,-0.015833036461836647,-0.0141865471149486,0.016096524713896887,0.01933918613100416,0.025736768101915386
2007-05-31,-0.0013963873822175898,-0.02271794152757778,0.03179399421104301,-0.006014797076674294,-0.021513670781024063,0.0014150284508402944,0.0218256159851411,0.042236314063082814,0.026963701166489162
2007-06-30,-0.0019652708529582785,-0.007302104376621932,0.05188367351579615,0.09618976447309469,-0.006980649341406631,-0.020470898708612073,-0.010250681602977152,0.04419827168740054,0.0005678271666773593
2007-07-31,-0.004022973680135933,0.00937515931816102,-0.04520657339220924,-0.01762258268453354,0.0023276682160671136,-0.05240924191446983,-0.03937855506454613,0.0342097236732164,-0.018557937873724173
2007-08-31,-0.005998406457727534,0.01552238209987733,-0.019286076441347166,-0.007240911383475934,0.0049826112900912545,0.006295735065572128,-0.007994145194583746,-0.028337837015426137,0.022841610452111638
2007-09-30,-0.006545082846780792,-0.0020986708244576935,-0.029046852258122313,-0.015052441320373977,-0.01306261230405259,-0.009462869713928512,0.011177270161960795,0.07187913757140607,0.015013885936908888
2007-10-31,-0.006764707782071611,0.004381885401042673,0.05055983651158269,-0.043189595218847576,-0.027594267643604176,-0.0374530954663892,-0.013842653504037572,0.06351464388163897,0.024556183562574496
2007-11-30,-0.0009165925043255196,0.00518903897814349,-0.07636868144844933,0.016612582137536913,0.03604058209957528,-0.005440256089976447,-0.024942402538409403,-0.05547238304198154,-0.05087434210030661
2007-12-31,-0.0014445252170069978,-0.004647535848308015,-0.05385455246337634,-0.008225954817371983,-0.02380517242721525,-0.018029245168311392,-0.03351783537828523,-0.017432810722724845,-0.022620919292672736
2008-01-31,-0.00047994488182723227,0.009827323102477914,-0.0916704859571208,-0.0711219938091826,-0.04531885271809888,-0.08352023667947561,-0.14210650831163096,-0.1870412540787061,-0.17953756103728036
2008-02-29,0.0035079380658522563,0.009168029716926318,0.015918217166055904,-0.023875439784461383,-0.007547318586211826,-0.03719042388140059,-0.0295250946957325,0.04817613360531037,-0.07393739556743206
2008-03-31,0.0025841718459813645,0.0068098213916227834,0.02008575891075637,-0.05386444439468274,-0.026248238772667354,-0.049003729660482054,-0.054862253120220195,-0.0962163610752984,-0.02545094624124522
2008-04-30,-0.001498314425334324,-0.00856698466474426,0.023197225706349744,0.05796222582877242,0.03776816892863977,0.10355715378704367,0.11356671736764823,0.14381901894293292,0.13866608733555474
2008-05-31,0.0002889088342736823,-0.024953604816284614,0.01457033401514396,0.03077692577018265,0.01937895528590028,0.03449940835649645,0.0464948443254245,0.0499013918743898,0.09347037220545817
2008-06-30,-0.004079347996953642,-0.004235376002207802,-0.02536769300210784,0.07542284029618807,0.08949559803931195,0.05813691879141203,0.0017466034705311273,-0.020020666101166373,-0.01605699728899268
2008-07-31,-0.008654522392629205,0.002067207626361922,-0.009147863600679207,-0.056610463676146305,-0.055311111202886565,-0.06917837603628652,-0.07966132233315804,-0.09219507550966477,-0.05028063079771883
2008-08-31,-0.005848481171047193,0.00310664566779173,-0.05120447983406151,0.0036934724243247175,-0.012895924930485858,0.007207332410347211,-0.010407336302720283,-0.0764770753879983,0.01729283681267635
2008-09-30,-0.003033568128843256,0.005667341695990924,-0.05795442985145671,-0.022478156011253914,0.04077045550372982,-0.0191799811884501,-0.06092042462550096,-0.12067842837010145,-0.09226827658080883
